2020-01-17 16:33:13,569 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:33:13", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "17-01-2020 16:33:13", "type": "instruction", "contents": [{"instructed_by": "back-end", "instruction": "ping"}]}}}')
2020-01-17 16:33:13,569 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:33:13","type":"instruction","contents":[{"instruction":"status update"}]}')
2020-01-17 16:33:13,569 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:33:13", "type": "connection", "contents": {"connection": true}}')
2020-01-17 16:34:33,771 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:34:33","type":"instruction","contents":[{"instructed_by":"back-end","instruction":"ping"}]}')
2020-01-17 16:34:33,771 [INFO ]  ('instruction performed', 'ping')
2020-01-17 16:34:33,772 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:34:33", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "17-01-2020 16:34:33", "type": "instruction", "contents": [{"instructed_by": "back-end", "instruction": "ping"}]}}}')
2020-01-17 16:34:33,772 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:34:33","type":"instruction","contents":[{"instruction":"status update"}]}')
2020-01-17 16:34:33,773 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:34:33", "type": "connection", "contents": {"connection": true}}')
2020-01-17 16:35:29,374 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:35:29","type":"instruction","contents":[{"instructed_by":"back-end","instruction":"ping"}]}')
2020-01-17 16:35:29,374 [INFO ]  ('instruction performed', 'ping')
2020-01-17 16:35:29,375 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:35:29", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "17-01-2020 16:35:29", "type": "instruction", "contents": [{"instructed_by": "back-end", "instruction": "ping"}]}}}')
2020-01-17 16:35:29,375 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:35:29","type":"instruction","contents":[{"instruction":"status update"}]}')
2020-01-17 16:35:29,375 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:35:29", "type": "connection", "contents": {"connection": true}}')
2020-01-17 16:35:47,357 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:35:47","type":"instruction","contents":[{"instructed_by":"back-end","instruction":"ping"}]}')
2020-01-17 16:35:47,357 [INFO ]  ('instruction performed', 'ping')
2020-01-17 16:35:47,357 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:35:47", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "17-01-2020 16:35:47", "type": "instruction", "contents": [{"instructed_by": "back-end", "instruction": "ping"}]}}}')
2020-01-17 16:35:47,363 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:35:47","type":"instruction","contents":[{"instruction":"status update"}]}')
2020-01-17 16:35:47,363 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:35:47", "type": "connection", "contents": {"connection": true}}')
2020-01-17 16:36:41,823 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:36:41","type":"instruction","contents":[{"instructed_by":"back-end","instruction":"ping"}]}')
2020-01-17 16:36:41,824 [INFO ]  ('instruction performed', 'ping')
2020-01-17 16:36:41,825 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:36:41", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "17-01-2020 16:36:41", "type": "instruction", "contents": [{"instructed_by": "back-end", "instruction": "ping"}]}}}')
2020-01-17 16:36:41,825 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:36:41","type":"instruction","contents":[{"instruction":"status update"}]}')
2020-01-17 16:36:41,825 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:36:41", "type": "connection", "contents": {"connection": true}}')
2020-01-17 16:37:04,579 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:37:04","type":"instruction","contents":[{"instructed_by":"back-end","instruction":"ping"}]}')
2020-01-17 16:37:04,580 [INFO ]  ('instruction performed', 'ping')
2020-01-17 16:37:04,580 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:37:04", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "17-01-2020 16:37:04", "type": "instruction", "contents": [{"instructed_by": "back-end", "instruction": "ping"}]}}}')
2020-01-17 16:37:04,580 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:37:04","type":"instruction","contents":[{"instruction":"status update"}]}')
2020-01-17 16:37:04,580 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:37:04", "type": "connection", "contents": {"connection": true}}')
2020-01-17 16:37:23,193 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:37:23","type":"instruction","contents":[{"instructed_by":"back-end","instruction":"ping"}]}')
2020-01-17 16:37:23,193 [INFO ]  ('instruction performed', 'ping')
2020-01-17 16:37:23,194 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:37:23", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "17-01-2020 16:37:23", "type": "instruction", "contents": [{"instructed_by": "back-end", "instruction": "ping"}]}}}')
2020-01-17 16:37:23,194 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:37:23","type":"instruction","contents":[{"instruction":"status update"}]}')
2020-01-17 16:37:23,194 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:37:23", "type": "connection", "contents": {"connection": true}}')
2020-01-17 16:38:16,994 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:38:16","type":"instruction","contents":[{"instructed_by":"back-end","instruction":"ping"}]}')
2020-01-17 16:38:16,994 [INFO ]  ('instruction performed', 'ping')
2020-01-17 16:38:16,995 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:38:16", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "17-01-2020 16:38:16", "type": "instruction", "contents": [{"instructed_by": "back-end", "instruction": "ping"}]}}}')
2020-01-17 16:38:16,995 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:38:16","type":"instruction","contents":[{"instruction":"status update"}]}')
2020-01-17 16:38:16,995 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:38:16", "type": "connection", "contents": {"connection": true}}')
2020-01-17 16:40:55,019 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:40:55","type":"instruction","contents":[{"instructed_by":"back-end","instruction":"ping"}]}')
2020-01-17 16:40:55,020 [INFO ]  ('instruction performed', 'ping')
2020-01-17 16:40:55,020 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:40:55", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "17-01-2020 16:40:55", "type": "instruction", "contents": [{"instructed_by": "back-end", "instruction": "ping"}]}}}')
2020-01-17 16:40:55,020 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:40:55","type":"instruction","contents":[{"instruction":"status update"}]}')
2020-01-17 16:40:55,020 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:40:55", "type": "connection", "contents": {"connection": true}}')
2020-01-17 16:41:28,394 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:41:28","type":"instruction","contents":[{"instructed_by":"back-end","instruction":"ping"}]}')
2020-01-17 16:41:28,394 [INFO ]  ('instruction performed', 'ping')
2020-01-17 16:41:28,394 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:41:28", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "17-01-2020 16:41:28", "type": "instruction", "contents": [{"instructed_by": "back-end", "instruction": "ping"}]}}}')
2020-01-17 16:41:28,394 [INFO ]  ('message received: topic', 'latency', 'message', '{"device_id":"back-end","time_sent":"17-01-2020 16:41:28","type":"instruction","contents":[{"instruction":"status update"}]}')
2020-01-17 16:41:28,394 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 16:41:28", "type": "connection", "contents": {"connection": true}}')
