2020-01-17 17:06:44,469 [INFO ]  Start of log for device: latency
2020-01-17 17:06:44,475 [INFO ]  connected to broker
2020-01-17 17:06:44,476 [INFO ]  ('subscribed to topic', 'client-computers')
2020-01-17 17:06:44,477 [INFO ]  ('subscribed to topic', 'latency')
2020-01-17 17:06:44,477 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 17:06:44", "type": "connection", "contents": {"connection": true}}')
2020-01-17 17:11:05,394 [INFO ]  program was terminated from keyboard input
2020-01-17 17:11:05,394 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 17:11:05", "type": "connection", "contents": {"connection": false}}')
2020-01-17 17:11:05,395 [INFO ]  cleanly exited ControlBoard program and client
2020-01-17 17:11:05,395 [INFO ]  ('back-end message published', '{"device_id": "latency", "time_sent": "17-01-2020 17:11:05", "type": "connection", "contents": {"connection": false}}')
2020-01-17 17:11:05,395 [INFO ]  disconnecting, reason  0
