2020-01-21 14:46:28,868 [INFO ]  Start of log for device: hue_lights
2020-01-21 14:46:28,971 [INFO ]  connected to broker
2020-01-21 14:46:28,977 [INFO ]  ('subscribed to topic', 'lamp')
2020-01-21 14:46:28,977 [INFO ]  ('subscribed to topic', 'client-computers')
2020-01-21 14:46:28,977 [INFO ]  ('subscribed to topic', 'hue_lights')
2020-01-21 14:46:28,978 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:28", "type": "connection", "contents": {"connection": true}}')
2020-01-21 14:46:28,978 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:28", "type": "status", "contents": {"all": "none"}}')
2020-01-21 14:46:28,979 [INFO ]  connected OK
2020-01-21 14:46:29,985 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:29", "type": "connection", "contents": {"connection": false}}')
2020-01-21 14:46:29,985 [WARNI]  disconnecting, reason 1
2020-01-21 14:46:31,011 [INFO ]  ('subscribed to topic', 'lamp')
2020-01-21 14:46:31,012 [INFO ]  ('subscribed to topic', 'client-computers')
2020-01-21 14:46:31,012 [INFO ]  ('subscribed to topic', 'hue_lights')
2020-01-21 14:46:31,015 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:31", "type": "connection", "contents": {"connection": true}}')
2020-01-21 14:46:31,015 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:31", "type": "status", "contents": {"all": "none"}}')
2020-01-21 14:46:31,016 [INFO ]  connected OK
2020-01-21 14:46:32,016 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:32", "type": "connection", "contents": {"connection": false}}')
2020-01-21 14:46:32,016 [WARNI]  disconnecting, reason 1
2020-01-21 14:46:33,025 [INFO ]  ('subscribed to topic', 'lamp')
2020-01-21 14:46:33,026 [INFO ]  ('subscribed to topic', 'client-computers')
2020-01-21 14:46:33,026 [INFO ]  ('subscribed to topic', 'hue_lights')
2020-01-21 14:46:33,027 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:33", "type": "connection", "contents": {"connection": true}}')
2020-01-21 14:46:33,027 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:33", "type": "status", "contents": {"all": "none"}}')
2020-01-21 14:46:33,027 [INFO ]  connected OK
2020-01-21 14:46:34,036 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:34", "type": "connection", "contents": {"connection": false}}')
2020-01-21 14:46:34,037 [WARNI]  disconnecting, reason 1
2020-01-21 14:46:35,072 [INFO ]  ('subscribed to topic', 'lamp')
2020-01-21 14:46:35,073 [INFO ]  ('subscribed to topic', 'client-computers')
2020-01-21 14:46:35,073 [INFO ]  ('subscribed to topic', 'hue_lights')
2020-01-21 14:46:35,073 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:35", "type": "connection", "contents": {"connection": true}}')
2020-01-21 14:46:35,074 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:35", "type": "status", "contents": {"all": "none"}}')
2020-01-21 14:46:35,074 [INFO ]  connected OK
2020-01-21 14:46:36,084 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:36", "type": "connection", "contents": {"connection": false}}')
2020-01-21 14:46:36,084 [WARNI]  disconnecting, reason 1
2020-01-21 14:46:37,118 [INFO ]  ('subscribed to topic', 'lamp')
2020-01-21 14:46:37,119 [INFO ]  ('subscribed to topic', 'client-computers')
2020-01-21 14:46:37,119 [INFO ]  ('subscribed to topic', 'hue_lights')
2020-01-21 14:46:37,119 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:37", "type": "connection", "contents": {"connection": true}}')
2020-01-21 14:46:37,119 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:37", "type": "status", "contents": {"all": "none"}}')
2020-01-21 14:46:37,120 [INFO ]  connected OK
2020-01-21 14:46:38,125 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:38", "type": "connection", "contents": {"connection": false}}')
2020-01-21 14:46:38,125 [WARNI]  disconnecting, reason 1
2020-01-21 14:46:39,133 [INFO ]  ('subscribed to topic', 'lamp')
2020-01-21 14:46:39,133 [INFO ]  ('subscribed to topic', 'client-computers')
2020-01-21 14:46:39,134 [INFO ]  ('subscribed to topic', 'hue_lights')
2020-01-21 14:46:39,134 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:39", "type": "connection", "contents": {"connection": true}}')
2020-01-21 14:46:39,134 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:39", "type": "status", "contents": {"all": "none"}}')
2020-01-21 14:46:39,135 [INFO ]  connected OK
2020-01-21 14:46:40,147 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:40", "type": "connection", "contents": {"connection": false}}')
2020-01-21 14:46:40,147 [WARNI]  disconnecting, reason 1
2020-01-21 14:46:41,202 [INFO ]  ('subscribed to topic', 'lamp')
2020-01-21 14:46:41,202 [INFO ]  ('subscribed to topic', 'client-computers')
2020-01-21 14:46:41,203 [INFO ]  ('subscribed to topic', 'hue_lights')
2020-01-21 14:46:41,203 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:41", "type": "connection", "contents": {"connection": true}}')
2020-01-21 14:46:41,204 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:41", "type": "status", "contents": {"all": "none"}}')
2020-01-21 14:46:41,204 [INFO ]  connected OK
2020-01-21 14:46:42,214 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:46:42", "type": "connection", "contents": {"connection": false}}')
2020-01-21 14:46:42,214 [WARNI]  disconnecting, reason 1
2020-01-21 14:46:43,597 [INFO ]  ('subscribed to topic', 'lamp')
