2020-01-21 14:50:02,312 [INFO ]  Start of log for device: hue_lights
2020-01-21 14:50:02,325 [INFO ]  connected to broker
2020-01-21 14:50:02,325 [INFO ]  ('subscribed to topic', 'lamp')
2020-01-21 14:50:02,325 [INFO ]  ('subscribed to topic', 'client-computers')
2020-01-21 14:50:02,325 [INFO ]  ('subscribed to topic', 'hue_lights')
2020-01-21 14:50:02,326 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:02", "type": "connection", "contents": {"connection": true}}')
2020-01-21 14:50:02,326 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:02", "type": "status", "contents": {"all": "none"}}')
2020-01-21 14:50:02,326 [INFO ]  connected OK
2020-01-21 14:50:09,275 [INFO ]  ('message received: topic', 'hue_lights', 'message', '{"device_id":"back-end","time_sent":"21-01-2020 14:50:09","type":"instruction","contents":[{"instructed_by":"front-end","instruction":"test"}]}')
2020-01-21 14:50:09,277 [INFO ]  Starting new HTTP connection (1): 192.168.178.20
2020-01-21 14:50:11,401 [INFO ]  Starting new HTTP connection (1): 192.168.178.20
2020-01-21 14:50:11,434 [INFO ]  Template has been published.
2020-01-21 14:50:11,434 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:11", "type": "status", "contents": {"all": "none"}}')
2020-01-21 14:50:11,434 [INFO ]  ('instruction performed', 'test')
2020-01-21 14:50:11,435 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:11", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "21-01-2020 14:50:09", "type": "instruction", "contents": [{"instructed_by": "front-end", "instruction": "test"}]}}}')
2020-01-21 14:50:14,963 [INFO ]  ('message received: topic', 'hue_lights', 'message', '{"device_id":"back-end","time_sent":"21-01-2020 14:50:14","type":"instruction","contents":[{"component_id":"all","instruction":"scene","value":"xAgrIMeKpZD8Gla"}]}')
2020-01-21 14:50:14,965 [INFO ]  Starting new HTTP connection (1): 192.168.178.20
2020-01-21 14:50:15,085 [INFO ]  Template has been published.
2020-01-21 14:50:15,085 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:15", "type": "status", "contents": {"all": "xAgrIMeKpZD8Gla"}}')
2020-01-21 14:50:15,968 [INFO ]  ('message received: topic', 'hue_lights', 'message', '{"device_id":"back-end","time_sent":"21-01-2020 14:50:14","type":"instruction","contents":[{"component_id":"spot4","instruction":"manual","value":[true,123,[0.54,0.23]]}]}')
2020-01-21 14:50:15,970 [INFO ]  Starting new HTTP connection (1): 192.168.178.20
2020-01-21 14:50:16,023 [INFO ]  Template has been published.
2020-01-21 14:50:16,023 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:16", "type": "status", "contents": {"all": "xAgrIMeKpZD8Gla"}}')
2020-01-21 14:50:16,024 [INFO ]  ('instruction performed', 'manual')
2020-01-21 14:50:16,024 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:16", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "21-01-2020 14:50:14", "type": "instruction", "contents": [{"component_id": "spot4", "instruction": "manual", "value": [true, 123, [0.54, 0.23]]}]}}}')
2020-01-21 14:50:16,969 [INFO ]  ('message received: topic', 'hue_lights', 'message', '{"device_id":"back-end","time_sent":"21-01-2020 14:50:14","type":"instruction","contents":[{"component_id":"spot1","instruction":"manual","value":[true,123,[0.61,0.36]]}]}')
2020-01-21 14:50:16,973 [INFO ]  Starting new HTTP connection (1): 192.168.178.20
2020-01-21 14:50:17,044 [INFO ]  Template has been published.
2020-01-21 14:50:17,045 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:17", "type": "status", "contents": {"all": "xAgrIMeKpZD8Gla"}}')
2020-01-21 14:50:17,046 [INFO ]  ('instruction performed', 'manual')
2020-01-21 14:50:17,047 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:17", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "21-01-2020 14:50:14", "type": "instruction", "contents": [{"component_id": "spot1", "instruction": "manual", "value": [true, 123, [0.61, 0.36]]}]}}}')
2020-01-21 14:50:17,968 [INFO ]  ('message received: topic', 'hue_lights', 'message', '{"device_id":"back-end","time_sent":"21-01-2020 14:50:14","type":"instruction","contents":[{"component_id":"spot2","instruction":"manual","value":[true,123,[0.15,0.1]]}]}')
2020-01-21 14:50:17,970 [INFO ]  Starting new HTTP connection (1): 192.168.178.20
2020-01-21 14:50:18,031 [INFO ]  Template has been published.
2020-01-21 14:50:18,031 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:18", "type": "status", "contents": {"all": "xAgrIMeKpZD8Gla"}}')
2020-01-21 14:50:18,032 [INFO ]  ('instruction performed', 'manual')
2020-01-21 14:50:18,032 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:18", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "21-01-2020 14:50:14", "type": "instruction", "contents": [{"component_id": "spot2", "instruction": "manual", "value": [true, 123, [0.15, 0.1]]}]}}}')
2020-01-21 14:50:18,968 [INFO ]  ('message received: topic', 'hue_lights', 'message', '{"device_id":"back-end","time_sent":"21-01-2020 14:50:14","type":"instruction","contents":[{"component_id":"spot3","instruction":"manual","value":[true,123,[0.24,0.1]]}]}')
2020-01-21 14:50:18,970 [INFO ]  Starting new HTTP connection (1): 192.168.178.20
2020-01-21 14:50:19,022 [INFO ]  Template has been published.
2020-01-21 14:50:19,023 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:19", "type": "status", "contents": {"all": "xAgrIMeKpZD8Gla"}}')
2020-01-21 14:50:19,023 [INFO ]  ('instruction performed', 'manual')
2020-01-21 14:50:19,023 [INFO ]  ('back-end message published', '{"device_id": "hue_lights", "time_sent": "21-01-2020 14:50:19", "type": "confirmation", "contents": {"completed": true, "instructed": {"device_id": "back-end", "time_sent": "21-01-2020 14:50:14", "type": "instruction", "contents": [{"component_id": "spot3", "instruction": "manual", "value": [true, 123, [0.24, 0.1]]}]}}}')
